Feature,Importance (CAC)
spend,0.028131126654630963
previous_day_spend_campaign,0.254022380148417
previous_week_spend_campaign,0.2321745639119059
previous_month_spend_campaign,0.08307119207940965
previous_day_visits_campaign,0.045584217084140406
previous_week_visits_campaign,0.10051024911679468
previous_month_visits_campaign,0.2565062710047014
