Feature,Importance (Transactions)
spend,0.02507371673153675
previous_day_spend_campaign,0.23077109458981548
previous_week_spend_campaign,0.22748901370019703
previous_month_spend_campaign,0.08288967401860742
previous_day_visits_campaign,0.04271433746887999
previous_week_visits_campaign,0.12542382750791656
previous_month_visits_campaign,0.2656383359830468
