Spend,Estimated Transactions,Estimated CAC
0,0.12647438632365268,0.0
100,0.2479695126824993,403.2753821960372
200,0.26877033856558685,744.1297319763389
300,0.4172509315480029,718.9918040134712
400,0.7447541914131018,537.0899615093635
500,1.0875740975454444,459.7387903301986
600,1.3863015422629017,432.806270287056
700,1.4183804527072021,493.5206197067507
800,1.812159646206604,441.4622087378675
900,1.8823995678018528,478.11315694837475
1000,2.3657886549963916,422.69202614023243
1100,2.152837083708818,510.9536658969874
1200,2.4476370360102613,490.2687703876406
1300,3.1136130316055586,417.5213768711794
1400,3.1650390367996026,442.3326169827087
1500,3.4050958983132067,440.51622767601344
1600,3.4800220594970197,459.7672005077042
1700,3.3632305151549953,505.4663937959825
1800,3.325681116369789,541.2425115384558
1900,2.663914883245964,713.2360016266216
2000,2.6032627512855697,768.2666680542867
2100,3.033144471586381,692.3507995323638
2200,3.6495868212856943,602.8079636765493
2300,3.3851009501595786,679.4479792077027
2400,3.3857625432643186,708.8506560433756
2500,5.084837012512241,491.6578434762527
2600,5.343020931738685,486.61609849878084
2700,5.222467956067067,516.996949088667
2800,5.183657119252137,540.1591840634638
2900,5.152641750262035,562.8180922635505
3000,5.1815494052994655,578.9773994882166
3100,5.258751285633193,589.4935568580968
3200,6.685248794706171,478.6658056068123
3300,8.22117575049768,401.4024392800786
3400,8.356964893218858,406.8462705591694
3500,8.201054902045206,426.7743652255222
3600,8.131641331933826,442.71505014152734
3700,8.264160755160846,447.71636341771364
3800,8.510658692187146,446.4989300403306
3900,8.521934573770057,457.64256534002715
4000,8.382789573144644,477.16812704144695
4100,6.3971322577461045,640.9121829606426
4200,5.67961970022871,739.486131409621
4300,6.717022807625935,640.1645674208738
4400,7.382440903083327,596.0088347151292
4500,9.424220569001797,477.49306874262123
4600,10.275315602401381,447.6748138933039
4700,10.938068236824604,429.6919618929386
4800,11.050769137767377,434.3589066208436
4900,11.034803696847813,444.0495848059107
5000,11.38794568385592,439.06075237856396
5100,11.618002817891938,438.97389938190634
5200,12.173189010972552,427.1682625902608
5300,12.40754441962649,427.1594620782787
5400,13.119726344500439,411.5939508344689
5500,12.8642592689238,427.54113431827
5600,10.809427560217996,518.0662869336129
5700,10.518978760071041,541.877698397549
5800,10.518978760071041,551.3843246852254
5900,10.40182045245735,567.2084061599207
6000,10.437323923623078,574.859997055379
6100,10.060537873482037,606.3294106847528
6200,9.679786982454278,640.5099627954841
6300,9.291565606051,678.0342804550844
6400,12.514481237725404,511.4075348730353
6500,12.25338982670674,530.465454207047
6600,11.076614421705973,595.8499365172897
6700,11.144319417138684,601.2031555463287
6800,11.122584419019258,611.3687020772097
6900,11.52286548641105,598.8093854030659
7000,13.715057246710826,510.3879534792868
7100,13.59382961736719,522.2957915353883
7200,14.356461549017038,501.5163364187725
7300,14.105913313607092,517.5134596182544
7400,14.373343749527955,514.8419274563742
7500,13.997171729966356,535.8225322007983
7600,16.412095321656615,463.0731086463655
7700,15.74815400846327,488.94619622477126
7800,15.80500626703011,493.5145148452816
7900,15.540894830178436,508.33623715535396
8000,16.155387020473356,495.1908604765569
8100,18.700106087522123,433.1526228829699
8200,20.703172097344968,396.07457067178564
8300,20.693459943592458,401.0929067746363
8400,21.034285220458777,399.34801263557216
8500,23.481851355596685,361.9816798633342
8600,23.93313302301328,359.33448377738654
8700,23.30173648101621,373.362732304858
8800,24.375369404936208,361.02016973814267
8900,24.05403142588342,370.00034806735664
9000,23.36744761708342,385.15117900254967
9100,23.009321894756926,395.4918811437721
9200,20.50765205319687,448.6130336196065
9300,20.398863073230796,455.90776145775925
9400,19.96026391436432,470.93565697973213
9500,19.850003585773244,478.589334200865
9600,20.964666140406262,457.9133259602658
