,0
Mean Squared Error (Transactions),8.988436110506433
R-squared Score (Transactions),0.6837621678186152
Mean Squared Error (Visits),478558.23522517463
R-squared Score (Visits),0.5929868532514144
Mean Squared Error (CAC),882252.1040366797
R-squared Score (CAC),0.35630173917707986
