Campaign Name,Spend,Estimated Transactions,Estimated CAC
1180_8Sleep_Prospecting_Elon_No_Comment,0,0.0026290650595020026,0.0
1180_8Sleep_Prospecting_Elon_No_Comment,100,0.0017262345063300008,57929.55686687171
1180_8Sleep_Prospecting_Elon_No_Comment,200,0.0017262345063300008,115859.11373374342
1180_8Sleep_Prospecting_Elon_No_Comment,300,0.0017262345063300008,173788.67060061515
1180_8Sleep_Prospecting_Elon_No_Comment,400,0.0017262345063300008,231718.22746748684
1180_8Sleep_Prospecting_Elon_No_Comment,500,0.0017262345063300008,289647.7843343586
1180_8Sleep_Prospecting_Elon_No_Comment,600,0.0017262345063300008,347577.3412012303
1180_8Sleep_Prospecting_Elon_No_Comment,700,0.0017262345063300008,405506.898068102
1180_8Sleep_Prospecting_Elon_No_Comment,800,0.0017262345063300008,463436.4549349737
1180_8Sleep_Prospecting_Elon_No_Comment,900,0.0017262345063300008,521366.0118018454
1180_8Sleep_Prospecting_Elon_No_Comment,1000,0.0017262345063300008,579295.5686687172
1180_8Sleep_Prospecting_Elon_No_Comment,1100,0.0017262345063300008,637225.1255355888
1180_8Sleep_Prospecting_Elon_No_Comment,1200,0.0017262345063300008,695154.6824024606
1180_8Sleep_Prospecting_Elon_No_Comment,1300,0.0017262345063300008,753084.2392693323
1180_8Sleep_Prospecting_Elon_No_Comment,1400,0.0017262345063300008,811013.796136204
1180_8Sleep_Prospecting_Elon_No_Comment,1500,0.0017262345063300008,868943.3530030757
1180_8Sleep_Prospecting_Elon_No_Comment,1600,0.0017262345063300008,926872.9098699474
1180_8Sleep_Prospecting_Elon_No_Comment,1700,0.0017262345063300008,984802.4667368191
1180_8Sleep_Prospecting_Elon_No_Comment,1800,0.0017262345063300008,1042732.0236036908
1180_8Sleep_Prospecting_Elon_No_Comment,1900,0.0017262345063300008,1100661.5804705624
1180_8Sleep_Prospecting_Elon_No_Comment,2000,0.0017262345063300008,1158591.1373374343
1180_8Sleep_Prospecting_Elon_No_Comment,2100,0.0017262345063300008,1216520.694204306
1180_8Sleep_Prospecting_Elon_No_Comment,2200,0.0017262345063300008,1274450.2510711777
1180_8Sleep_Prospecting_Elon_No_Comment,2300,0.0017262345063300008,1332379.8079380493
1180_8Sleep_Prospecting_Elon_No_Comment,2400,0.0017262345063300008,1390309.3648049212
1180_8Sleep_Prospecting_Elon_No_Comment,2500,0.0017262345063300008,1448238.9216717929
1180_8Sleep_Prospecting_Elon_No_Comment,2600,0.0017262345063300008,1506168.4785386645
1180_8Sleep_Prospecting_Elon_No_Comment,2700,0.0017262345063300008,1564098.0354055362
1180_8Sleep_Prospecting_Elon_No_Comment,2800,0.0017262345063300008,1622027.592272408
1180_8Sleep_Prospecting_Elon_No_Comment,2900,0.0017262345063300008,1679957.1491392797
1180_8Sleep_Prospecting_Elon_No_Comment,3000,0.0017262345063300008,1737886.7060061514
1180_8Sleep_Prospecting_Elon_No_Comment,3100,0.0017262345063300008,1795816.262873023
1180_8Sleep_Prospecting_Elon_No_Comment,3200,0.0017262345063300008,1853745.8197398947
1180_8Sleep_Prospecting_Elon_No_Comment,3300,0.0017262345063300008,1911675.3766067666
1180_8Sleep_Prospecting_Elon_No_Comment,3400,0.0017262345063300008,1969604.9334736383
1180_8Sleep_Prospecting_Elon_No_Comment,3500,0.0017262345063300008,2027534.49034051
1180_8Sleep_Prospecting_Elon_No_Comment,3600,0.0017262345063300008,2085464.0472073816
1180_8Sleep_Prospecting_Elon_No_Comment,3700,0.0017262345063300008,2143393.6040742532
1180_8Sleep_Prospecting_Elon_No_Comment,3800,0.0017262345063300008,2201323.160941125
1180_8Sleep_Prospecting_Elon_No_Comment,3900,0.0017262345063300008,2259252.717807997
1180_8Sleep_Prospecting_Elon_No_Comment,4000,0.0017262345063300008,2317182.2746748687
1180_8Sleep_Prospecting_Elon_No_Comment,4100,0.0017262345063300008,2375111.8315417403
1180_8Sleep_Prospecting_Elon_No_Comment,4200,0.0017262345063300008,2433041.388408612
1180_8Sleep_Prospecting_Elon_No_Comment,4300,0.0017262345063300008,2490970.9452754837
1180_8Sleep_Prospecting_Elon_No_Comment,4400,0.0017262345063300008,2548900.5021423553
1180_8Sleep_Prospecting_Elon_No_Comment,4500,0.0017262345063300008,2606830.059009227
1180_8Sleep_Prospecting_Elon_No_Comment,4600,0.0017262345063300008,2664759.6158760986
1180_8Sleep_Prospecting_Elon_No_Comment,4700,0.0017262345063300008,2722689.1727429703
1180_8Sleep_Prospecting_Elon_No_Comment,4800,0.0017262345063300008,2780618.7296098424
1180_8Sleep_Prospecting_Elon_No_Comment,4900,0.0017262345063300008,2838548.286476714
1180_8Sleep_Prospecting_Elon_No_Comment,5000,0.0017262345063300008,2896477.8433435857
ASC Creative Testing Campaign,0,0.7563390017980001,0.0
ASC Creative Testing Campaign,100,0.7568446360320001,132.1275136787412
ASC Creative Testing Campaign,200,0.738637340274,270.76887275399497
ASC Creative Testing Campaign,300,0.7528501400680002,398.48567999589255
ASC Creative Testing Campaign,400,0.7224572980140003,553.6659413637047
ASC Creative Testing Campaign,500,0.6717563253180002,744.3175168664126
ASC Creative Testing Campaign,600,0.7521494937540002,797.7137590100372
ASC Creative Testing Campaign,700,0.7567478209520001,925.0109225546095
ASC Creative Testing Campaign,800,0.7567478209520001,1057.1553400624107
ASC Creative Testing Campaign,900,0.7567478209520001,1189.299757570212
ASC Creative Testing Campaign,1000,0.7567478209520001,1321.4441750780134
ASC Creative Testing Campaign,1100,0.7567478209520001,1453.5885925858147
